Season,Pos,Team,Pts,PPG,GP,W,L,D,GF,GA,GD
2000,1,CHI,57,1.78,32,17,9,6,67,51,16
2000,2,SKC,56,1.81,31,16,7,8,47,29,18
2000,3,RBNY,54,1.69,32,17,12,3,64,56,8
2000,4,TBM,52,1.63,32,16,12,4,62,50,12
2000,5,LA,50,1.56,32,14,10,8,47,37,10
2000,6,DAL,46,1.44,32,14,14,4,54,54,0
2000,7,NE,45,1.41,32,13,13,6,47,49,-2
2000,8,COL,43,1.34,32,13,15,4,43,59,-16
2000,9,MIA,41,1.28,32,12,15,5,54,56,-2
2000,10,CLB,38,1.19,32,11,16,5,48,58,-10
2000,11,SJ,29,0.91,32,7,17,8,35,50,-15
2000,12,DC,29,0.94,31,8,18,5,44,63,-19
2001,1,MIA,53,2.04,26,16,5,5,57,36,21
2001,2,CHI,53,1.96,27,16,6,5,50,30,20
2001,3,LA,47,1.81,26,14,7,5,52,36,16
2001,4,CLB,45,1.73,26,13,7,6,49,36,13
2001,5,SJ,45,1.73,26,13,7,6,47,29,18
2001,6,RBNY,42,1.62,26,13,10,3,38,35,3
2001,7,SKC,36,1.33,27,11,13,3,33,53,-20
2001,8,DAL,35,1.35,26,10,11,5,48,47,1
2001,9,NE,27,1,27,7,14,6,35,52,-17
2001,10,DC,26,1,26,8,16,2,42,50,-8
2001,11,COL,23,0.88,26,5,13,8,36,47,-11
2001,12,TBM,14,0.52,27,4,21,2,32,68,-36
2002,1,LA,51,1.82,28,16,9,3,44,33,11
2002,2,SJ,45,1.61,28,14,11,3,45,35,10
2002,3,DAL,43,1.54,28,12,9,7,44,43,1
2002,4,COL,43,1.54,28,13,11,4,43,48,-5
2002,5,NE,38,1.36,28,12,14,2,49,49,0
2002,6,CLB,38,1.36,28,11,12,5,44,43,1
2002,7,CHI,37,1.32,28,11,13,4,43,38,5
2002,8,SKC,36,1.29,28,9,10,9,37,45,-8
2002,9,RBNY,35,1.25,28,11,15,2,41,47,-6
2002,10,DC,32,1.14,28,9,14,5,31,40,-9
2003,1,CHI,53,1.77,30,15,7,8,53,43,10
2003,2,SJ,51,1.7,30,14,7,9,45,35,10
2003,3,NE,45,1.5,30,12,9,9,55,47,8
2003,4,SKC,42,1.4,30,11,10,9,48,44,4
2003,5,RBNY,42,1.4,30,11,10,9,40,40,0
2003,6,COL,40,1.33,30,11,12,7,40,45,-5
2003,7,DC,39,1.3,30,10,11,9,38,36,2
2003,8,CLB,38,1.27,30,10,12,8,44,44,0
2003,9,LA,36,1.2,30,9,12,9,35,35,0
2003,10,DAL,23,0.77,30,6,19,5,35,64,-29
2004,1,CLB,49,1.63,30,12,5,13,40,32,8
2004,2,SKC,49,1.63,30,14,9,7,38,30,8
2004,3,LA,43,1.43,30,11,9,10,42,40,2
